ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29
FNGU,CPAT_SMAG_LNB,25,35,None,TOTAL,TOTAL,0.030000000000001137,2,0.010000000000001136,0.0,0.0,0.0,0.0,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137
FNGU,RENKO_CAV,25,10,None,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135,0.0,0.0,0.0,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137
FNGU,RENKO_CON_SA,25,10,4,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135,0.0,0.0,0.0,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137
FNGU,RENKO_CON_SA,25,10,5,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135,0.0,0.0,0.0,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137
FNGU,RENKO_CON_VS,25,10,1,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135,0.0,0.0,0.0,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137
FNGU,RENKO_CON_VS,25,10,2,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135,0.0,0.0,0.0,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137
FNGU,RENKO_CON_VS,25,10,3,TOTAL,TOTAL,0.030000000000001137,1,0.020000000000001135,0.0,0.0,0.0,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137,0.030000000000001137
FNGU,RENKO_SA,20,4,None,TOTAL,TOTAL,0.240000000000002,19,0.05000000000000199,0.5899999999999999,0.5899999999999999,-0.6900000000000013,-0.41999999999999815,-0.879999999999999,-0.5700000000000003,0.030000000000001137,0.14000000000000057,-0.060000000000002274,-0.10999999999999943,0.04999999999999716,0.240000000000002
FNGU,BBR_V32W,30,None,None,TOTAL,TOTAL,0.10000000000000142,1,0.09000000000000143,0.0,0.0,0.0,0.0,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.10000000000000142
FNGU,RENKO_SA,25,4,None,TOTAL,TOTAL,0.20000000000000284,11,0.09000000000000284,0.7399999999999984,0.7399999999999984,0.09999999999999432,0.36999999999999744,-0.4200000000000017,0.03999999999999915,0.03999999999999915,0.03999999999999915,-0.25,-0.4399999999999977,-0.4399999999999977,0.20000000000000284
FNGU,RENKO_CON_VS,10,9,2,TOTAL,TOTAL,0.4099999999999966,29,0.11999999999999661,0.22000000000000242,0.22000000000000242,0.06000000000000938,0.720000000000006,0.3200000000000003,0.5,1.269999999999996,1.1700000000000017,0.9399999999999977,0.29000000000000625,0.5300000000000011,0.4099999999999966
FNGU,RENKO_CON_VS,20,9,2,TOTAL,TOTAL,0.16999999999999105,4,0.12999999999999104,0.0,0.0,0.36999999999999744,0.23999999999999488,-0.1700000000000088,0.16999999999999105,0.16999999999999105,0.16999999999999105,0.16999999999999105,0.16999999999999105,0.16999999999999105,0.16999999999999105
FNGU,RENKO_CON_VS,20,10,3,TOTAL,TOTAL,0.1799999999999926,4,0.1399999999999926,0.0,0.0,0.36999999999999744,0.44999999999999574,-0.16000000000000725,0.1799999999999926,0.1799999999999926,0.1799999999999926,0.1799999999999926,0.1799999999999926,0.1799999999999926,0.1799999999999926
FNGU,BBMR_MAS,15,15,None,TOTAL,TOTAL,0.3400000000000105,15,0.19000000000001052,0.09999999999999787,0.09999999999999787,0.25,0.25,-0.1700000000000017,-0.060000000000002274,0.769999999999996,0.9699999999999989,0.9699999999999989,0.9400000000000048,0.5600000000000094,0.3400000000000105
FNGU,RENKO_SA,15,4,None,TOTAL,TOTAL,0.5200000000000067,31,0.21000000000000668,0.28999999999999915,0.08999999999999986,-0.16000000000000014,0.28000000000000114,0.519999999999996,0.8399999999999999,1.2499999999999964,1.2199999999999953,1.0199999999999996,0.15000000000000213,0.4600000000000044,0.5200000000000067
FNGU,RENKO_BAH,25,None,None,TOTAL,TOTAL,0.22999999999999687,1,0.21999999999999686,0.0,0.0,0.22999999999999687,0.22999999999999687,0.22999999999999687,0.22999999999999687,0.22999999999999687,0.22999999999999687,0.22999999999999687,0.22999999999999687,0.22999999999999687,0.22999999999999687
FNGU,CPAT_SMAG_LNB,20,50,None,TOTAL,TOTAL,0.23000000000000398,1,0.22000000000000397,0.0,0.0,0.0,0.0,0.23000000000000398,0.23000000000000398,0.23000000000000398,0.23000000000000398,0.23000000000000398,0.23000000000000398,0.23000000000000398,0.23000000000000398
