ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29
TQQQ,BBMR_MAS,20,15,None,TOTAL,TOTAL,0.6999999999999744,59,0.10999999999997445,-0.04999999999999716,-0.5999999999999943,-0.7299999999999756,1.9400000000000261,0.27000000000002444,0.5600000000000165,1.9400000000000404,1.3600000000000136,0.6099999999999994,0.3299999999999983,0.6799999999999784,0.6999999999999744
TQQQ,BBMR_MAS,10,30,None,TOTAL,TOTAL,2.189999999999884,204,0.149999999999884,0.11999999999999034,0.5100000000000193,0.6099999999999568,0.3599999999999568,-0.34000000000007446,-0.3400000000001171,1.1499999999999204,1.3799999999998818,0.7199999999998852,1.2499999999998863,2.0599999999998744,2.189999999999884
TQQQ,CPAT_SMAG_LNB,25,45,None,TOTAL,TOTAL,1.2499999999999432,99,0.25999999999994317,1.15000000000002,1.15000000000002,1.3999999999999773,1.8699999999999477,1.6999999999999602,0.8299999999999699,1.1399999999999721,1.1399999999999721,1.089999999999975,1.089999999999975,1.2299999999999471,1.2499999999999432
TQQQ,PAT_SMAG_LNB,35,50,None,TOTAL,TOTAL,0.4999999999999858,23,0.2699999999999858,0.0,0.0,-1.0999999999999943,-0.09999999999999432,-1.3299999999999983,-0.15000000000000568,0.4999999999999858,0.4999999999999858,0.4999999999999858,0.4999999999999858,0.4999999999999858,0.4999999999999858
TQQQ,RENKO_CON_VS,25,10,2,TOTAL,TOTAL,0.6099999999999852,30,0.30999999999998523,1.240000000000009,1.240000000000009,1.7800000000000011,4.320000000000007,1.0200000000000102,1.240000000000009,2.049999999999997,1.6999999999999886,0.1799999999999926,-0.38000000000000966,-0.5600000000000165,0.6099999999999852
TQQQ,RENKO_CON_SA,25,10,2,TOTAL,TOTAL,0.6999999999999886,39,0.3099999999999886,0.23000000000000398,0.23000000000000398,0.45999999999997954,0.0799999999999983,0.5599999999999881,0.6499999999999915,0.2600000000000051,0.5100000000000051,-0.5099999999999909,-0.2799999999999869,0.04000000000000625,0.6999999999999886
TQQQ,CPAT_SMAG_LNB,30,50,None,TOTAL,TOTAL,0.9499999999999602,47,0.4799999999999602,0.0,0.0,0.9000000000000199,0.7099999999999937,-0.6899999999999977,-0.6400000000000148,1.129999999999967,1.099999999999966,1.099999999999966,1.0899999999999608,0.9499999999999602,0.9499999999999602
TQQQ,PAT_SMAG_LNB,15,25,None,TOTAL,TOTAL,2.8899999999999437,238,0.5099999999999438,0.8200000000000074,0.3200000000000358,-0.659999999999954,3.3700000000000614,3.860000000000099,4.760000000000048,5.940000000000026,4.960000000000008,3.7899999999999494,3.389999999999958,2.859999999999957,2.8899999999999437
TQQQ,RENKO_CAV,25,10,None,TOTAL,TOTAL,0.8599999999999852,31,0.5499999999999852,1.240000000000009,1.240000000000009,1.8900000000000006,4.930000000000007,1.539999999999992,1.8200000000000074,2.8700000000000045,2.519999999999996,1.25,0.6899999999999977,0.5099999999999909,0.8599999999999852
TQQQ,RENKO_CON_SA,20,9,3,TOTAL,TOTAL,1.189999999999955,60,0.5899999999999551,0.5800000000000125,0.5800000000000125,0.12999999999998124,0.8100000000000023,0.7999999999999545,0.8199999999999505,1.5199999999999534,1.2499999999999574,1.8299999999999557,1.17999999999995,0.7099999999999369,1.189999999999955
TQQQ,PAT_SMAG_LNB,30,40,None,TOTAL,TOTAL,1.049999999999983,44,0.609999999999983,0.030000000000001137,0.030000000000001137,0.21999999999999886,0.28999999999999204,0.980000000000004,0.2699999999999818,1.1499999999999773,1.1499999999999773,1.1499999999999773,1.1499999999999773,1.5099999999999767,1.049999999999983
TQQQ,CPAT_SMAG_LNB,25,35,None,TOTAL,TOTAL,1.8699999999999761,116,0.7099999999999762,0.7800000000000296,0.7800000000000296,0.8599999999999994,3.09999999999998,2.609999999999971,3.049999999999983,2.6699999999999875,1.9100000000000108,2.220000000000013,2.0400000000000063,2.039999999999978,1.8699999999999761
TQQQ,BBMR_MAS,10,15,None,TOTAL,TOTAL,2.569999999999922,174,0.8299999999999221,0.21999999999998465,0.6100000000000136,0.9399999999999835,2.299999999999983,2.2099999999999795,1.8299999999999415,2.699999999999946,2.0999999999999517,1.9699999999999278,1.4699999999999278,1.4599999999999227,2.569999999999922
TQQQ,RENKO_CON_SA,20,9,2,TOTAL,TOTAL,1.4699999999999704,60,0.8699999999999705,0.3500000000000085,0.3500000000000085,-0.10000000000002274,0.17000000000001592,-0.03000000000002956,0.4399999999999693,1.3999999999999773,1.5299999999999727,2.109999999999971,1.4599999999999653,0.9899999999999523,1.4699999999999704
TQQQ,CPAT_SMAG_LNB,30,40,None,TOTAL,TOTAL,1.4199999999999164,52,0.8999999999999164,0.030000000000001137,0.030000000000001137,0.23999999999999488,-0.45000000000001705,-0.020000000000024443,-0.4900000000000517,0.9599999999999227,0.9599999999999227,0.9599999999999227,0.9599999999999227,1.6199999999999193,1.4199999999999164
TQQQ,RENKO_CAV,25,9,None,TOTAL,TOTAL,1.2699999999999534,34,0.9299999999999533,1.0,1.0,0.9699999999999704,4.889999999999972,2.2799999999999585,2.7599999999999625,3.0299999999999727,2.929999999999964,1.6599999999999682,1.099999999999966,0.9199999999999591,1.2699999999999534
