ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29
VDE,RENKO_CON_VS,15,9,1,TOTAL,TOTAL,0.20999999999997954,19,0.019999999999979534,0.0,0.18999999999999773,-0.5500000000000114,-0.480000000000004,-1.1599999999999966,-0.09000000000000341,0.12999999999999545,0.12999999999999545,0.6199999999999903,0.20999999999997954,0.20999999999997954,0.20999999999997954
VDE,CPAT_SMAG_LNB,20,50,None,TOTAL,TOTAL,0.10000000000000853,8,0.020000000000008525,0.0,0.0,-0.010000000000005116,-0.010000000000005116,0.12000000000000455,0.12000000000000455,0.12000000000000455,0.12000000000000455,0.12000000000000455,0.12000000000000455,0.10000000000000853,0.10000000000000853
VDE,BBMR_MAS,10,15,None,TOTAL,TOTAL,0.4000000000000199,38,0.02000000000001989,-0.3499999999999801,-0.19999999999997442,-0.10999999999999943,-0.21999999999999886,-0.4200000000000017,-0.5100000000000051,-0.12999999999999545,-0.23999999999998067,-0.03999999999997783,0.19000000000001194,0.2300000000000182,0.4000000000000199
VDE,RENKO_CON_SA,20,10,5,TOTAL,TOTAL,0.13999999999997215,11,0.029999999999972146,0.0,0.0899999999999892,0.12999999999998124,-0.0800000000000125,-0.9200000000000159,-0.3300000000000125,-0.2400000000000233,-0.2400000000000233,0.13999999999997215,0.13999999999997215,0.13999999999997215,0.13999999999997215
VDE,RENKO_CON_VS,15,9,2,TOTAL,TOTAL,0.18999999999999773,16,0.029999999999997723,0.0,0.18999999999999773,-0.1599999999999966,-0.23999999999999488,-0.7299999999999898,0.19000000000001194,0.2600000000000051,0.2600000000000051,0.75,0.18999999999999773,0.18999999999999773,0.18999999999999773
VDE,RENKO_VBS,15,2,2,TOTAL,TOTAL,0.23999999999998067,19,0.04999999999998067,0.0,0.3399999999999892,0.4199999999999875,0.4899999999999949,0.12999999999999545,1.039999999999992,1.279999999999987,1.279999999999987,1.7699999999999818,1.2099999999999795,0.569999999999979,0.23999999999998067
VDE,RENKO_CON_SA,20,10,4,TOTAL,TOTAL,0.15999999999998238,11,0.04999999999998238,0.0,0.0899999999999892,-0.0700000000000216,-0.28000000000001535,-1.1200000000000188,-0.7300000000000182,-0.2300000000000182,-0.2300000000000182,0.15999999999998238,0.15999999999998238,0.15999999999998238,0.15999999999998238
VDE,BBMR_MAS,20,15,None,TOTAL,TOTAL,0.16999999999997328,10,0.06999999999997328,0.0,-0.28000000000000114,0.12999999999999545,-0.21000000000000796,-0.8000000000000114,-0.28000000000001535,0.6999999999999744,0.6999999999999744,0.6999999999999744,0.6999999999999744,0.16999999999997328,0.16999999999997328
VDE,CPAT,35,None,None,TOTAL,TOTAL,0.359999999999971,28,0.07999999999997098,-0.21000000000000796,-0.030000000000015348,0.2799999999999727,0.8899999999999864,1.029999999999987,1.7399999999999949,2.309999999999988,1.2499999999999858,1.9599999999999795,1.7199999999999704,1.0099999999999767,0.359999999999971
VDE,CPAT_SMAG_LNB,15,45,None,TOTAL,TOTAL,0.4999999999999858,42,0.0799999999999858,0.0,0.07000000000000739,0.2500000000000142,0.12000000000000455,-0.12000000000000455,0.13999999999997215,0.6799999999999784,0.6399999999999864,0.5699999999999932,0.5699999999999932,0.4999999999999858,0.4999999999999858
VDE,CPAT_SMAG_LNB,15,35,None,TOTAL,TOTAL,0.5599999999999312,45,0.10999999999993121,0.0,-0.4000000000000057,0.5699999999999932,0.1799999999999784,0.1899999999999693,0.449999999999946,0.8999999999999346,0.8999999999999346,0.8299999999999415,0.8099999999999312,0.5599999999999312,0.5599999999999312
VDE,PAT_SMAG_LNB,20,40,None,TOTAL,TOTAL,0.20999999999997954,10,0.10999999999997953,0.0,0.0,0.2599999999999909,0.2599999999999909,0.029999999999986926,-0.05000000000002558,0.30999999999997385,0.20999999999997954,0.20999999999997954,0.20999999999997954,0.20999999999997954,0.20999999999997954
VDE,CPAT_SMAG_LNB,35,35,None,TOTAL,TOTAL,0.14000000000000057,2,0.12000000000000056,0.0,0.0,0.0,0.0,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057
VDE,CPAT_SMAG_LNB,35,40,None,TOTAL,TOTAL,0.14000000000000057,2,0.12000000000000056,0.0,0.0,0.0,0.0,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057
VDE,CPAT_SMAG_LNB,35,45,None,TOTAL,TOTAL,0.14000000000000057,2,0.12000000000000056,0.0,0.0,0.0,0.0,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057
VDE,PAT_SMAG_LNB,35,50,None,TOTAL,TOTAL,0.14000000000000057,1,0.13000000000000056,0.0,0.0,0.0,0.0,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057,0.14000000000000057
VDE,RENKO_SA,20,5,None,TOTAL,TOTAL,0.3399999999999608,20,0.13999999999996077,0.0,0.28999999999999204,0.23999999999999488,0.36999999999999034,-0.10000000000000853,0.6899999999999977,0.9799999999999898,0.9799999999999898,1.549999999999983,1.1399999999999721,0.5699999999999648,0.3399999999999608
