ticker,stratName,aggregation,param1,param2,datafile,day,profit,trades,ProfitPerTrade,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29
JNUG,RENKO_CON_SA,25,10,5,TOTAL,TOTAL,0.07000000000000739,5,0.020000000000007387,0.7600000000000051,0.15000000000000568,-0.3399999999999892,-0.3399999999999892,0.07000000000000739
JNUG,RENKO_CON_SA,25,10,4,TOTAL,TOTAL,0.20000000000000284,5,0.15000000000000285,1.0600000000000023,0.45000000000000284,-0.03999999999999204,-0.03999999999999204,0.20000000000000284
JNUG,CPAT_SMAG_LNB,35,50,None,TOTAL,TOTAL,0.21999999999998465,6,0.15999999999998465,-0.8300000000000125,-0.8300000000000125,-0.8300000000000125,-0.8300000000000125,0.21999999999998465
JNUG,RENKO_CON_VS,25,10,1,TOTAL,TOTAL,0.2500000000000142,5,0.20000000000001422,0.19000000000001194,-0.4199999999999875,-0.9099999999999824,-0.9099999999999824,0.2500000000000142
JNUG,RENKO_CAV,25,10,None,TOTAL,TOTAL,0.3100000000000023,4,0.2700000000000023,0.5999999999999943,0.14000000000000057,-0.3499999999999943,-0.3499999999999943,0.3100000000000023
JNUG,RENKO_CON_VS,25,10,2,TOTAL,TOTAL,0.5100000000000051,4,0.47000000000000514,0.5999999999999943,0.14000000000000057,-0.4399999999999977,-0.4399999999999977,0.5100000000000051
JNUG,RENKO_BAH,20,None,None,TOTAL,TOTAL,0.6000000000000085,5,0.5500000000000085,0.04000000000000625,-0.7599999999999909,-0.7599999999999909,-0.7599999999999909,0.6000000000000085
