Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
2;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.24;5/18/21, 8:39 AM;$0.67;$0.67;0.0;
3;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.24;5/18/21, 8:39 AM;;$0.97;1.0;
4;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.23;5/18/21, 8:40 AM;($0.01);$0.66;0.0;
5;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.23;5/18/21, 8:40 AM;;$0.83;-1.0;
6;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.63;5/18/21, 8:42 AM;($0.40);$0.25;0.0;
7;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.63;5/18/21, 8:42 AM;;$0.08;1.0;
8;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.85;5/18/21, 8:43 AM;$0.22;$0.47;0.0;
9;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.85;5/18/21, 8:43 AM;;$0.60;-1.0;
10;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$64.65;5/18/21, 9:13 AM;($1.80);($1.33);0.0;
11;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$64.65;5/18/21, 9:13 AM;;($1.56);1.0;
12;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$64.42;5/18/21, 9:13 AM;($0.23);($1.56);0.0;
13;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$64.42;5/18/21, 9:13 AM;;($1.84);-1.0;
14;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$64.81;5/18/21, 9:16 AM;($0.39);($1.95);0.0;
15;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$64.81;5/18/21, 9:16 AM;;($1.65);1.0;
16;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$64.90;5/18/21, 9:19 AM;$0.09;($1.86);0.0;
17;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$64.90;5/18/21, 9:19 AM;;($2.08);-1.0;
18;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$65.40;5/18/21, 9:23 AM;($0.50);($2.36);0.0;
19;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$65.40;5/18/21, 9:23 AM;;($2.31);1.0;
20;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$65.58;5/18/21, 9:31 AM;$0.18;($2.18);0.0;
21;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$65.58;5/18/21, 9:31 AM;;($2.26);-1.0;
22;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.89;5/19/21, 8:48 AM;$5.69;$3.51;0.0;
23;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.89;5/19/21, 8:48 AM;;$3.77;1.0;
24;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.05;5/19/21, 8:49 AM;$0.16;$3.67;0.0;
25;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.05;5/19/21, 8:49 AM;;$3.66;-1.0;
26;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.30;5/19/21, 9:16 AM;$0.75;$4.42;0.0;
27;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.30;5/19/21, 9:16 AM;;$4.51;1.0;
28;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.48;5/19/21, 9:28 AM;$1.18;$5.60;0.0;
29;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.48;5/19/21, 9:28 AM;;$5.31;-1.0;


Max trade P/L: $5.69;

Total P/L: $5.60;

Total order(s): 14;
