Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
42;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$60.99;5/19/21, 9:26 AM;($0.55);$4.50;0.0;
43;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$60.99;5/19/21, 9:26 AM;;$4.29;1.0;
44;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.78;5/19/21, 9:26 AM;($0.21);$4.29;0.0;
45;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.78;5/19/21, 9:26 AM;;$4.09;-1.0;
46;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$61.19;5/19/21, 9:54 AM;($0.41);$3.88;0.0;
47;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$61.19;5/19/21, 9:54 AM;;$3.69;1.0;
48;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.87;5/19/21, 9:56 AM;($0.32);$3.56;0.0;
49;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.87;5/19/21, 9:56 AM;;$3.73;-1.0;


Max trade P/L: $6.41;

Total P/L: $3.56;

Total order(s): 24;
