Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
2;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$93.25;5/14/21, 8:56 AM;($1.23);($1.23);0.0;
3;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$93.25;5/14/21, 8:56 AM;;($1.15);1.0;
4;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$93.24;5/14/21, 8:57 AM;($0.01);($1.24);0.0;
5;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$93.24;5/14/21, 8:57 AM;;($1.28);-1.0;
6;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$93.59;5/14/21, 8:59 AM;($0.35);($1.59);0.0;
7;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$93.59;5/14/21, 8:59 AM;;($1.50);1.0;
8;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$93.62;5/14/21, 9:00 AM;$0.03;($1.56);0.0;
9;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$93.62;5/14/21, 9:00 AM;;($1.53);-1.0;
10;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$93.67;5/14/21, 9:01 AM;($0.05);($1.61);0.0;
11;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$93.67;5/14/21, 9:01 AM;;($1.56);1.0;
12;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$93.66;5/14/21, 9:01 AM;($0.02);($1.63);0.0;
13;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$93.66;5/14/21, 9:01 AM;;($1.61);-1.0;
14;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$93.99;5/14/21, 9:16 AM;($0.33);($1.96);0.0;
15;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$93.99;5/14/21, 9:16 AM;;($1.86);1.0;
16;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$94.14;5/14/21, 9:18 AM;$0.15;($1.81);0.0;
17;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$94.14;5/14/21, 9:18 AM;;($1.88);-1.0;
18;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$94.81;5/14/21, 9:58 AM;($0.67);($2.48);0.0;
19;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$94.81;5/14/21, 9:58 AM;;($2.52);1.0;
20;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$94.73;5/14/21, 10:01 AM;($0.09);($2.57);0.0;
21;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$94.73;5/14/21, 10:01 AM;;($2.47);-1.0;
22;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$94.28;5/17/21, 8:35 AM;$0.44;($2.13);0.0;
23;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$94.28;5/17/21, 8:35 AM;;($2.20);1.0;
24;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$94.11;5/17/21, 8:36 AM;($0.17);($2.30);0.0;
25;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$94.11;5/17/21, 8:36 AM;;($2.37);-1.0;
26;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$94.57;5/17/21, 8:39 AM;($0.46);($2.76);0.0;
27;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$94.57;5/17/21, 8:39 AM;;($2.66);1.0;
28;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$95.01;5/17/21, 8:40 AM;$0.44;($2.32);0.0;
29;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$95.01;5/17/21, 8:40 AM;;($2.22);-1.0;
30;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$95.03;5/17/21, 8:48 AM;($0.02);($2.33);0.0;
31;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$95.03;5/17/21, 8:48 AM;;($2.38);1.0;
32;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$94.88;5/17/21, 8:48 AM;($0.15);($2.48);0.0;
33;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$94.88;5/17/21, 8:48 AM;;($2.52);-1.0;
34;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$94.23;5/17/21, 8:58 AM;$0.65;($1.83);0.0;
35;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$94.23;5/17/21, 8:58 AM;;($1.89);1.0;
36;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$94.09;5/17/21, 8:59 AM;($0.14);($1.97);0.0;
37;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$94.09;5/17/21, 8:59 AM;;($1.92);-1.0;
38;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$93.53;5/17/21, 9:14 AM;$0.56;($1.41);0.0;
39;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$93.53;5/17/21, 9:14 AM;;($1.44);1.0;
40;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$93.40;5/17/21, 9:14 AM;($0.13);($1.54);0.0;
41;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$93.40;5/17/21, 9:14 AM;;($1.51);-1.0;
42;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$94.08;5/17/21, 9:20 AM;($0.68);($2.22);0.0;
43;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$94.08;5/17/21, 9:20 AM;;($2.23);1.0;
44;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$94.35;5/17/21, 9:22 AM;$0.27;($1.95);0.0;
45;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$94.35;5/17/21, 9:22 AM;;($2.00);-1.0;
46;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$94.52;5/17/21, 9:25 AM;($0.17);($2.12);0.0;
47;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$94.52;5/17/21, 9:25 AM;;($2.03);1.0;
48;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$94.52;5/17/21, 9:26 AM;$0.00;($2.12);0.0;
49;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$94.52;5/17/21, 9:26 AM;;($2.04);-1.0;
50;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$94.66;5/17/21, 9:41 AM;($0.14);($2.26);0.0;
51;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$94.66;5/17/21, 9:41 AM;;($2.16);1.0;
