Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
2;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.73;5/18/21, 8:47 AM;$0.08;$0.08;0.0;
3;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.73;5/18/21, 8:47 AM;;($0.09);1.0;
4;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.36;5/18/21, 8:49 AM;($0.37);($0.29);0.0;
5;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.36;5/18/21, 8:49 AM;;($0.10);-1.0;
6;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.83;5/18/21, 8:53 AM;($0.47);($0.76);0.0;
7;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.83;5/18/21, 8:53 AM;;($0.41);1.0;
8;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$64.06;5/18/21, 8:59 AM;$1.23;$0.47;0.0;
9;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$64.06;5/18/21, 8:59 AM;;$0.28;-1.0;
10;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$64.25;5/18/21, 9:06 AM;($0.19);$0.27;0.0;
11;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$64.25;5/18/21, 9:06 AM;;$0.61;1.0;
12;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$64.40;5/18/21, 9:11 AM;$0.15;$0.42;0.0;
13;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$64.40;5/18/21, 9:11 AM;;$0.19;-1.0;
14;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$65.70;5/18/21, 9:28 AM;($1.30);($0.88);0.0;
15;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$65.70;5/18/21, 9:28 AM;;($1.05);1.0;
16;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$65.95;5/18/21, 9:43 AM;$0.25;($0.63);0.0;
17;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$65.95;5/18/21, 9:43 AM;;($0.33);-1.0;
18;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.99;5/19/21, 8:48 AM;$5.96;$5.33;0.0;
19;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.99;5/19/21, 8:48 AM;;$5.65;1.0;
20;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$59.98;5/19/21, 8:51 AM;($0.01);$5.32;0.0;
21;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$59.98;5/19/21, 8:51 AM;;$5.14;-1.0;


Max trade P/L: $5.96;

Total P/L: $5.32;

Total order(s): 10;
