Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
2;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.16;5/14/21, 9:26 AM;($1.67);($1.67);0.0;
3;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.16;5/14/21, 9:26 AM;;($1.70);1.0;
4;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$59.67;5/14/21, 9:36 AM;$0.51;($1.16);0.0;
5;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$59.67;5/14/21, 9:36 AM;;($1.50);-1.0;
6;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$60.28;5/14/21, 9:51 AM;($0.61);($1.77);0.0;
7;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$60.28;5/14/21, 9:51 AM;;($1.42);1.0;
8;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$60.21;5/14/21, 9:56 AM;($0.07);($1.84);0.0;
9;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$60.21;5/14/21, 9:56 AM;;($1.63);-1.0;
10;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.61;5/17/21, 8:40 AM;($2.39);($4.24);0.0;
11;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.61;5/17/21, 8:40 AM;;($4.49);1.0;
12;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.12;5/17/21, 8:41 AM;($0.49);($4.72);0.0;
13;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.12;5/17/21, 8:41 AM;;($4.38);-1.0;
14;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$61.97;5/17/21, 8:46 AM;$0.15;($4.57);0.0;
15;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$61.97;5/17/21, 8:46 AM;;($4.41);1.0;
16;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$61.94;5/17/21, 8:47 AM;($0.03);($4.60);0.0;
17;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$61.94;5/17/21, 8:47 AM;;($4.81);-1.0;
18;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$61.55;5/17/21, 9:37 AM;$0.39;($4.21);0.0;
19;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$61.55;5/17/21, 9:37 AM;;($3.86);1.0;
20;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.75;5/17/21, 9:55 AM;$1.20;($3.01);0.0;
21;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.75;5/17/21, 9:55 AM;;($2.66);-1.0;
22;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.73;5/18/21, 8:47 AM;$0.02;($2.99);0.0;
23;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.73;5/18/21, 8:47 AM;;($3.16);1.0;
24;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$62.36;5/18/21, 8:49 AM;($0.37);($3.36);0.0;
25;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$62.36;5/18/21, 8:49 AM;;($3.17);-1.0;
26;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$62.83;5/18/21, 8:53 AM;($0.47);($3.83);0.0;
27;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$62.83;5/18/21, 8:53 AM;;($3.48);1.0;
28;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$64.06;5/18/21, 8:59 AM;$1.23;($2.60);0.0;
29;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$64.06;5/18/21, 8:59 AM;;($2.79);-1.0;
30;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$64.25;5/18/21, 9:06 AM;($0.19);($2.80);0.0;
31;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$64.25;5/18/21, 9:06 AM;;($2.46);1.0;
32;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$64.40;5/18/21, 9:11 AM;$0.15;($2.65);0.0;
33;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$64.40;5/18/21, 9:11 AM;;($2.88);-1.0;
34;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$65.70;5/18/21, 9:28 AM;($1.30);($3.95);0.0;
35;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$65.70;5/18/21, 9:28 AM;;($4.12);1.0;
36;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$65.95;5/18/21, 9:43 AM;$0.25;($3.70);0.0;
37;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$65.95;5/18/21, 9:43 AM;;($3.40);-1.0;
38;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Close;1.0;$59.99;5/19/21, 8:48 AM;$5.96;$2.26;0.0;
39;GOLD_PAT_Range_Strategy_shorteraggregation(BUY PAT);Buy to Open;1.0;$59.99;5/19/21, 8:48 AM;;$2.58;1.0;
40;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Close;-1.0;$59.98;5/19/21, 8:51 AM;($0.01);$2.25;0.0;
41;GOLD_PAT_Range_Strategy_shorteraggregation(SELL PAT);Sell to Open;-1.0;$59.98;5/19/21, 8:51 AM;;$2.07;-1.0;


Max trade P/L: $5.96;

Total P/L: $2.25;

Total order(s): 20;
